Lat,Lon,Region
-24.598,123.117,"Western Australia, Australia"
-27.416,125.838,"Western Australia, Australia"
-30.166,128.71,"Western Australia, Australia"
-32.836,131.757,N/A
51.749,-7.032,N/A
51.773,-1.036,"England, United Kingdom"
51.467,4.922,"North Brabant, Netherlands"
50.838,10.755,"Thuringia, Germany"
49.902,16.389,"Pardubicky, Czech Republic"
48.68,21.766,Slovakia
41.078,40.911,"Rize, Turkey"
38.787,44.739,"Azarbayjan-e Gharbi, Iran"
36.362,48.307,"Zanjan, Iran"
33.821,51.64,"Ostan-e Esfahan, Iran"
31.181,54.764,"Yazd, Iran"
28.456,57.704,"Kerman, Iran"
25.659,60.482,"Sistan va Baluchestan, Iran"
47.796,-55.719,"Newfoundland and Labrador, Canada"
48.641,-1.669,N/A
47.151,3.407,"Bourgogne, France"
45.427,8.173,"Piedmont, Italy"
